"chi_id_travail","chp_resume_travail","cht_rev_travail","chx_utilisateur_travail","cht_utilisateur_travail","chd_dtc_travail","chp_etat_travail","chx_projet_travail","cht_log_travail","chn_duree_travail"
"1","compilation  select sql_163 tbl_autorisations","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(163)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(67.523)","67.523"
"2","compilation  select sql_162 tbl_acces","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(162)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.486)","73.486"
"3","compilation  update sql_161 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(161)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.128)","58.128"
"4","compilation  select sql_160 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(160)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.386)","58.386"
"5","compilation  update sql_159 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(159)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(60.805)","60.805"
"6","compilation  update sql_158 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(158)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(62.739)","62.739"
"7","compilation  update sql_157 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(157)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.395)","73.395"
"8","compilation  update sql_156 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(156)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(72.546)","72.546"
"9","compilation  select sql_155 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(155)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.469)","73.469"
"10","compilation  update sql_154 tbl_acces","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(154)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.196)","58.196"
"11","compilation  select sql_153 tbl_menus","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(153)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(89.293)","89.293"
"12","compilation  select sql_152 tbl_autorisations","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(152)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(74.705)","74.705"
"13","compilation  select sql_151 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(151)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.262)","58.262"
"14","compilation  update sql_150 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(150)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.33)","58.33"
"15","compilation  delete sql_149 tbl_menus","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(149)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.332)","73.332"
"16","compilation  update sql_148 tbl_menus","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(148)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.413)","73.413"
"17","compilation  insert sql_147 tbl_menus","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(147)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.074)","58.074"
"18","compilation  select sql_146 tbl_menus","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(146)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.699)","73.699"
"19","compilation  liste_ecran sql_145 tbl_menus","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(145)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.627)","73.627"
"20","compilation  delete sql_144 tbl_autorisations","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(144)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(76.388)","76.388"
"21","compilation  update sql_143 tbl_autorisations","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(143)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.132)","58.132"
"22","compilation  insert sql_142 tbl_autorisations","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(142)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(72.026)","72.026"
"23","compilation  select sql_141 tbl_autorisations","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(141)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(71.547)","71.547"
"24","compilation  liste_ecran sql_140 tbl_autorisations","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(140)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(72.945)","72.945"
"25","compilation  delete sql_139 tbl_acces","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(139)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.278)","73.278"
"26","compilation  update sql_138 tbl_acces","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(138)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.146)","58.146"
"27","compilation  insert sql_137 tbl_acces","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(137)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(58.488)","58.488"
"28","compilation  select sql_136 tbl_acces","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(136)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(61.416)","61.416"
"29","compilation  liste_ecran sql_135 tbl_acces","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(135)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(73.915)","73.915"
"30","compilation  delete sql_134 tbl_groupes","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(134)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(67.187)","67.187"
"31","compilation  update sql_133 tbl_groupes","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(133)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(61.002)","61.002"
"32","compilation  insert sql_132 tbl_groupes","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(132)))))","1","poipoip","2026-04-22 15:30:31.312","ok_termine","3","statut(OK),executer_job_cron(81.881)","81.881"
"33","compilation  select sql_131 tbl_groupes","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(131)))))","1","poipoip","2026-04-22 15:30:31.312","en_cours","3","{
  ""0"": [],
  ""1"": [],
  ""2"": [],
  ""3"": [],
  ""4"": []
}","0"
"34","compilation  liste_ecran sql_130 tbl_groupes","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(130)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"35","compilation  delete sql_129 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(129)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"36","compilation  update sql_127 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(127)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"37","compilation  insert sql_126 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(126)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"38","compilation  select sql_125 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(125)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"39","compilation  liste_ecran sql_124 tbl_metiers","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(124)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"40","compilation  delete sql_123 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(123)))))","1","poipoip","2026-04-22 15:30:31.312","en_file_d_attente","3",NULL,"0"
"41","compilation  update sql_122 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(122)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"42","compilation  select sql_121 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(121)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"43","compilation  insert sql_120 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(120)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"44","compilation  liste_ecran sql_119 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(119)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"45","compilation  delete sql_118 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(118)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"46","compilation  insert sql_117 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(117)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"47","compilation  select sql_116 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(116)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"48","compilation  liste_ecran sql_115 tbl_sources","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(115)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"49","compilation  delete sql_114 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(114)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"50","compilation  update sql_113 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(113)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"51","compilation  select sql_112 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(112)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"52","compilation  insert sql_111 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(111)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"53","compilation  liste_ecran sql_110 tbl_taches","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(110)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"54","compilation  update sql_109 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(109)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"55","compilation  select sql_108 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(108)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"56","compilation  update sql_107 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(107)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
"57","compilation  select sql_101 tbl_utilisateurs","pm1(m1(n1(requetes1),f1(compiler_requete_par_id(chi_id_requete(101)))))","1","poipoip","2026-04-22 15:30:33.588","en_file_d_attente","3",NULL,"0"
